no,업력,지역,업종,멘토링,세무,신용등급,이행보증,연계지원,자금,절차간소화
154,7년미만,서울,유통,3,2,4,4,4,5,5
155,1년미만,경기 ,금속,5,5,3,4,5,4,4
156,3년미만,부산,식료,4,4,4,4,3,4,4
157,5년미만,경기 ,기계,4,4,4,4,4,5,5
158,3년미만,서울,기계,2,2,3,3,5,4,4
159,3년미만,강원,정보,4,3,3,3,4,5,5
160,5년미만,대구,잡화,5,4,5,4,5,5,5
161,5년미만,인천,화공,3,3,3,3,3,3,3
162,1년미만,울산,기계,5,4,5,5,5,5,5
163,3년미만,광주,기계,5,5,5,5,5,5,5
164,7년미만,전남,섬유,3,3,4,4,3,5,5
165,3년미만,경기 ,잡화,4,4,5,4,4,5,4
166,3년미만,인천,유통,4,3,4,5,5,5,5
167,5년미만,충남,금속,5,4,5,5,5,5,5
168,3년미만,경남,금속,4,3,3,4,3,4,3
169,3년미만,경북,식료,5,2,4,3,5,5,5
170,1년미만,서울,잡화,4,3,3,4,3,5,5
171,5년미만,경기 ,기계,4,,4,4,3,3,4
172,5년미만,경남,기계,3,3,4,4,3,3,3
173,1년미만,경기 ,화공,4,4,4,4,4,4,4
174,1년미만,충남,기계,3,3,3,3,3,4,4
175,1년미만,전북,잡화,4,2,5,3,5,4,4
176,5년미만,경기 ,잡화,4,4,3,3,4,4,4
177,1년미만,부산,정보,5,5,5,5,5,5,5
178,1년미만,제주,잡화,5,5,5,5,5,5,5
179,3년미만,경남,화공,4,4,4,,,5,5
180,5년미만,충북,유통,5,5,5,5,3,3,3
181,3년미만,울산,금속,3,3,3,3,3,3,3
182,5년미만,경기 ,전기,4,3,3,3,3,3,3
183,1년미만,서울,정보,3,3,4,4,4,5,5
184,3년미만,서울,정보,3,2,3,3,3,3,2
185,1년미만,경남,정보,4,4,4,4,3,4,4
186,1년미만,경기,정보,4,3,3,3,4,4,4
187,1년미만,서울,잡화,3,2,2,5,3,5,4
188,1년미만,경기,유통,3,3,5,3,3,4,4
189,3년미만,서울,정보,5,5,5,5,5,5,5
190,7년미만,인천,기계,5,5,5,5,5,5,5
191,1년미만,서울,기타,2,1,4,3,3,4,3
192,1년미만,경남,전자,3,4,3,4,3,4,3
193,1년미만,경기,화공,4,4,4,4,4,4,4
194,3년미만,경기,기계,2,2,3,2,4,5,5
195,1년미만,울산,식료,4,4,4,4,4,4,4
196,3년미만,인천,식료,4,4,4,5,5,5,5
197,3년미만,인천,전자,3,4,4,3,3,5,5
198,1년미만,경기,화공,4,4,4,4,4,4,4
199,1년미만,경남,식료,3,3,5,3,3,5,5
200,3년미만,광주,기계,4,4,4,4,4,5,4
201,1년미만,경기,화공,3,3,3,3,4,4,3
202,1년미만,충남,기계,4,5,5,5,5,5,5
203,3년미만,강원,전자,3,3,4,5,4,5,4
204,1년미만,경기,유통,4,3,3,4,4,4,3
205,3년미만,경기,기계,4,4,4,4,5,5,3
206,3년미만,경남,기계,4,5,5,4,4,5,5
207,1년미만,전북,기계,4,5,5,5,4,5,4
208,5년미만,부산,화공,4,3,4,3,4,4,3
209,1년미만,경북,기계,3,2,5,2,5,5,5
210,1년미만,전북,금속,5,4,4,4,4,4,4
211,3년미만,서울,정보,5,5,5,5,5,5,5
212,1년미만,부산,정보,3,3,3,3,3,3,3
213,1년미만,부산,금속,4,4,4,3,4,5,5
214,3년미만,강원,화공,4,4,4,3,4,4,4
215,7년미만,광주,화공,4,4,4,4,4,4,4
216,1년미만,충남,금속,5,4,5,5,5,5,5
217,3년미만,서울,정보,3,3,4,5,5,5,5
218,7년미만,인천,기계,3,3,3,3,3,4,3
219,3년미만,강원,화공,3,3,5,4,4,5,5
220,1년미만,경기,기타,2,4,5,5,4,5,5
221,3년미만,서울,정보,3,3,4,4,5,5,4
222,1년미만,경기,전기,5,3,5,5,5,5,4
223,3년미만,부산,기계,4,3,3,4,3,3,3
224,5년미만,경기,섬유,5,5,5,5,5,5,3
225,3년미만,대구,전자,4,2,5,4,4,5,4
226,1년미만,부산,유통,4,4,4,4,4,5,4
227,1년미만,경남,기계,5,5,5,5,5,5,5
228,3년미만,경기,식료,3,3,5,5,5,5,4
229,3년미만,충북,화공,5,4,4,5,4,5,4
230,1년미만,전북,유통,5,3,5,3,5,4,4
231,5년미만,울산,정보,4,3,5,4,,4,3
232,7년미만,경기,화공,4,4,4,4,3,4,4
233,3년미만,경북,유통,4,4,5,5,5,5,5
234,1년미만,경기,정보,3,3,3,2,4,3,3
235,3년미만,서울,정보,4,4,4,4,4,5,5
236,1년미만,경기,잡화,5,4,5,5,5,5,5
237,1년미만,경기,식료,3,2,3,3,4,5,4
238,5년미만,충북,잡화,4,4,4,4,4,5,5
239,1년미만,서울,정보,4,4,4,4,4,4,4
240,3년미만,강원,전기,3,3,3,3,3,3,
241,7년미만,서울,잡화,3,3,5,5,5,5,5
242,1년미만,전남,기계,4,4,4,5,5,5,5
243,5년미만,서울,유통,2,3,4,5,4,5,5
244,3년미만,충북,전자,4,4,4,4,4,4,4
245,3년미만,경북,기계,3,3,3,3,3,3,3
246,5년미만,경기,잡화,2,4,4,4,4,4,5
247,3년미만,전남,유통,5,5,5,5,5,5,5
248,5년미만,부산,유통,4,4,4,4,4,4,4
249,1년미만,경북,잡화,4,4,3,3,3,4,3
250,3년미만,경남,잡화,4,3,2,3,4,5,4
251,3년미만,경기,전기,3,2,5,5,5,5,5
252,1년미만,강원,식료,5,5,5,5,3,5,5
253,7년미만,경기,전기,5,3,5,3,5,5,3
254,1년미만,경기,기계,4,5,5,4,5,5,5
255,5년미만,경기,유통,4,4,4,4,4,4,5
256,7년미만,서울,정보,4,4,4,4,4,4,4
257,3년미만,경북,전기,4,3,3,3,3,3,4
258,1년미만,경기,전자,3,3,3,3,3,3,3
259,7년미만,서울,유통,4,3,4,5,5,5,4
260,3년미만,경북,화공,3,4,4,3,5,5,5
261,1년미만,부산,식료,3,3,4,3,3,4,4
262,3년미만,서울,기타,4,2,5,5,5,5,5
263,5년미만,경기,잡화,5,4,5,5,5,5,5
264,5년미만,경기,금속,3,4,4,4,4,4,4
265,1년미만,서울,잡화,3,3,4,4,4,4,4
266,3년미만,서울,정보,5,3,4,3,5,5,3
267,1년미만,경기,기계,5,5,5,5,5,5,5
268,1년미만,서울,유통,4,4,5,3,3,5,3
269,5년미만,대구,기계,5,4,3,2,2,5,5
270,3년미만,대구,금속,5,5,5,5,5,5,4
271,3년미만,인천,전기,5,5,5,5,4,5,5
272,1년미만,경기,화공,4,4,4,4,4,4,4
273,5년미만,경기,금속,4,4,4,4,4,4,4
274,1년미만,서울,유통,5,2,5,5,5,5,2
275,1년미만,광주,기계,2,4,4,3,3,5,3
276,3년미만,경기,전자,1,3,3,3,3,4,4
277,1년미만,경기,유통,3,3,3,3,3,2,3
278,1년미만,전남,기타,1,1,4,4,4,4,4
279,1년미만,경기,기계,3,2,5,4,5,5,3
280,7년미만,인천,화공,3,3,3,3,3,3,3
281,3년미만,서울,유통,4,4,4,4,4,4,4
282,1년미만,부산,잡화,4,4,5,4,5,5,4
283,1년미만,강원,기계,4,3,4,4,4,4,4
284,5년미만,서울,잡화,4,4,4,4,4,4,4
285,3년미만,경기,기계,1,2,4,5,5,5,5
286,7년미만,서울,식료,4,4,4,4,3,4,4
287,3년미만,서울,섬유,5,2,4,3,3,3,4
288,1년미만,경기,기계,4,4,4,4,4,4,4
289,3년미만,전남,금속,3,1,5,5,3,5,5
290,1년미만,경기,잡화,3,5,5,5,5,5,5
291,5년미만,인천,전자,4,4,4,4,4,4,4
292,1년미만,전남,유통,4,4,5,5,5,5,4
293,1년미만,경남,금속,5,5,4,5,5,5,5
294,7년미만,인천,정보,5,5,5,5,5,5,5
295,3년미만,서울,기타,5,4,5,5,5,5,4
296,3년미만,전남,잡화,5,5,5,5,5,5,5
297,7년미만,충남,기계,4,4,4,5,4,5,5
298,1년미만,경기,전기,4,4,5,5,4,5,4
299,3년미만,전남,화공,4,4,4,5,4,5,4
300,5년미만,부산,정보,3,2,3,2,2,4,4
301,3년미만,경북,식료,4,4,4,4,4,4,4
302,3년미만,경기,기계,4,5,5,5,4,4,4
303,7년미만,광주,잡화,2,4,4,4,4,5,5
304,3년미만,대전,전기,2,3,4,4,4,5,5
305,1년미만,부산,기타,5,5,4,5,4,4,5
306,1년미만,경기,기계,5,5,5,4,4,5,5
307,3년미만,대구,유통,3,2,4,5,4,5,5
308,1년미만,경기,전자,3,4,3,3,4,4,3
309,1년미만,경기,정보,3,3,3,3,3,3,3
310,3년미만,서울,화공,4,4,5,4,5,5,5
311,3년미만,서울,유통,4,5,4,4,5,5,4
312,3년미만,서울,전기,2,3,5,5,5,5,5
313,3년미만,전남,화공,5,5,5,5,5,5,5
314,1년미만,서울,정보,3,3,4,4,5,5,5
315,1년미만,충남,전기,3,5,5,5,5,5,5
316,5년미만,광주,금속,3,4,3,4,3,4,
317,3년미만,경기,전기,4,4,4,4,4,5,5
318,3년미만,광주,기계,5,5,5,5,5,5,5
319,7년미만,경기,금속,5,5,5,5,5,5,5
320,5년미만,서울,유통,3,3,3,3,3,3,3
321,3년미만,경기,전자,4,4,5,4,4,4,4
322,1년미만,인천,기타,2,3,3,4,5,5,3
323,3년미만,서울,유통,2,3,4,2,3,5,5
324,3년미만,서울,정보,3,3,3,3,3,4,3
325,5년미만,경기,기계,4,4,4,4,4,4,4
326,5년미만,충북,화공,3,4,4,3,3,4,4
327,5년미만,경기,잡화,4,4,4,3,4,4,4
328,3년미만,경기,섬유,4,4,4,4,4,4,4
329,7년미만,서울,유통,4,3,4,4,4,4,4
330,5년미만,대전,화공,3,4,4,4,4,5,4
331,1년미만,전남,유통,4,4,4,4,4,5,5
332,3년미만,부산,기계,4,4,4,4,4,4,5
333,1년미만,경기,식료,4,4,4,4,4,5,5
334,3년미만,서울,유통,3,3,3,3,3,3,3
335,3년미만,전남,기타,4,5,5,4,5,5,4
336,5년미만,경기,유통,5,,5,5,5,,
337,3년미만,경기,잡화,4,4,3,4,4,5,4
338,3년미만,서울,유통,4,5,3,3,3,3,4
339,1년미만,충남,잡화,4,,,,,,
340,3년미만,인천,금속,3,3,3,3,3,3,3
341,3년미만,울산,기계,3,4,4,5,5,5,5
342,3년미만,부산,유통,5,5,5,5,5,5,5
343,3년미만,전북,유통,4,3,4,4,4,4,4
344,5년미만,서울,화공,4,3,3,4,5,4,4
345,5년미만,경기,화공,3,4,3,3,3,4,4
346,5년미만,경기,섬유,4,4,4,4,4,5,5
347,1년미만,광주,유통,5,4,4,4,5,5,3
348,3년미만,경북,식료,4,4,4,4,4,4,4
349,1년미만,전남,기타,4,4,4,4,4,4,4
350,7년미만,경남,금속,4,4,5,4,3,4,5
351,5년미만,서울,정보,1,1,5,3,4,5,3
352,3년미만,경기,정보,3,2,2,2,2,5,5
353,5년미만,인천,섬유,4,4,5,4,5,5,4
354,1년미만,서울,섬유,3,3,3,3,3,3,3
355,1년미만,경기,금속,3,3,4,4,3,4,4
356,3년미만,인천,유통,4,3,5,5,5,5,5
357,3년미만,경북,잡화,3,3,3,3,3,3,3
358,5년미만,경남,식료,3,3,3,3,3,3,3
359,3년미만,서울,유통,5,5,5,5,5,5,5
360,3년미만,서울,유통,5,5,5,4,5,5,5
361,1년미만,경기,화공,4,4,5,4,4,4,4
362,5년미만,경기,기계,4,4,4,5,5,5,5
363,3년미만,서울,기타,3,3,5,5,5,5,5
364,3년미만,경북,섬유,2,2,4,2,2,5,4
365,3년미만,서울,기타,5,5,4,4,4,5,5
366,1년미만,강원,식료,4,4,4,4,4,4,4
367,3년미만,경남,금속,3,3,2,5,3,5,5
368,3년미만,경기,유통,3,3,3,3,3,3,3
369,3년미만,인천,섬유,4,5,5,5,4,5,5
370,3년미만,서울,정보,3,3,4,4,4,5,5
371,1년미만,경북,잡화,5,5,5,5,5,5,5
372,5년미만,경북,화공,4,4,4,4,4,4,4
373,3년미만,울산,금속,4,4,4,4,4,5,5
374,7년미만,경기,기계,3,3,3,3,3,3,3
375,3년미만,서울,정보,4,3,4,4,4,4,4
376,1년미만,부산,전기,4,3,5,3,3,4,5
377,3년미만,강원,정보,5,4,5,4,5,5,5
378,5년미만,경남,금속,3,3,4,2,3,4,2
379,3년미만,경기,금속,3,3,3,3,3,3,3
380,5년미만,부산,금속,3,3,5,3,3,5,5
381,1년미만,강원,섬유,3,4,5,4,4,5,4
382,3년미만,제주,기계,5,5,5,5,5,5,5
383,1년미만,경기,화공,5,5,5,5,5,5,5
384,3년미만,경남,식료,5,5,5,5,5,5,5
385,7년미만,경남,금속,4,5,5,5,5,5,5
386,1년미만,경기,유통,5,5,5,5,5,5,5
387,1년미만,경기,화공,5,5,5,5,5,5,5
388,1년미만,전북,잡화,3,3,5,3,5,5,4
389,1년미만,대구,기계,3,3,4,4,5,4,4
390,1년미만,경기,정보,4,4,5,5,5,5,5
391,1년미만,경기,금속,5,5,5,5,5,5,5
392,1년미만,경기,유통,4,4,4,,4,4,4
393,3년미만,경기,기계,5,5,5,5,5,5,5
394,1년미만,서울,섬유,4,4,5,5,4,5,5
